Term,Frequencies
andPred,1
flashier,7
pusillanim,1
abrupt,95
descriptor,3
ofai,1
Berdoo,1
Dafnei,1
frontpag,1
Ackrod,1
togetehr,1
THAYER,1
intertwin,93
RosenbergCharisma,1
flit,8
flix,23
microcut,1
35TH,1
Dostoevskyan,1
flic,29
Dilandau,1
flik,11
flim,31
flip,229
arrepentira,1
guyKeanu,1
6/17/44,1
Doughi,1
garland,7
Francesca,19
presenceof,1
MUPPET,9
ofan,1
Celesti,4
ofal,2
SECURITY,4
Tozzi,1
adrian,1
Penthous,6
timbr,16
8/10OVERALL,1
Impact100,1
misleadingli,2
34th,19
`Save,4
offI,1
Unimpress,3
DEFINETLY,1
Elsberg,1
claptrap,11
1rst,1
Cotswold,1
inGettysburg,1
Therein,8
Jewison,21
fictiv,4
Umbridg,1
Wilkinson,37
Gilliland,6
Ardenn,3
McElhone],1
Ardent,6
Anteced,1
Enola,2
male/femal,9
Engross,5
newsgirl,2
kickbox,48
MILATARY,1
attentt,1
adrift,23
Parenthet,30
Armistic,1
favouit,1
Cowboi,93
shrinki,1
Tetchi,1
certanili,1
Dougli,1
enquir,2
congressmen,5
Midwestvil,1
SAINTS,1
Dougla,470
offi,2
better,16
ofer,2
actingcoupl,1
angnst,1
disappointmnt,1
jounei,2
Excitat,1
fllm,1
Romulan/Reman,1
Tangibl,1
flght,1
Minski,2
Facad,2
breadth,27
SOONER,1
kickbal,1
Ryan/Mamet,1
WATCHERS,1
flop,150
fanast,3
VideoAsia,2
Veracruz,1
flou,1
flow,594
dummi,46
Shipoopi,1
Hibbert,2
timid,54
Weatherbe,1
assuag,8
Pfeiff,1
SOFTLY,3
Weatherbi,2
flod,1
floe,1
ofhi,2
flog,13
Cobblepot/Th,1
Cahier,2
helpyou,1
marvol,1
dumpl,3
Ibought,2
pellet,2
Conick,1
Poppins/,1
dumpi,7
Kirina,5
Jeckyl,6
flashili,1
Face7,1
Embeth,4
reresent,1
directedApocalypto,1
Theresa,38
Tequila,6
roughian,1
misspent,2
housemaid,11
uuuummmmmmmm,1
Giovanni,61
Zerophillia,1
kristen,3
Desderi,1
Dprobabl,1
Exciter,1
Giovanna,3
50minut,1
Edmonson,2
ofit,1
Garrett,59
timeI,1
cowboy/poni,1
docudrama,35
rariti,54
posees,1
viewable/separ,1
attennt,1
